"都道府県名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.8.31時点】","人口に対する
交付枚数率"
"北海道","5,370,807","452,568","8.4%"
"青森県","1,323,861","118,932","9.0%"
"岩手県","1,277,271","114,134","8.9%"
"宮城県","2,319,438","215,678","9.3%"
"秋田県","1,029,196","78,053","7.6%"
"山形県","1,118,468","75,450","6.7%"
"福島県","1,938,559","166,247","8.6%"
"茨城県","2,960,458","281,234","9.5%"
"栃木県","1,991,597","169,543","8.5%"
"群馬県","1,998,275","162,621","8.1%"
"埼玉県","7,343,807","715,462","9.7%"
"千葉県","6,283,602","690,422","11.0%"
"東京都","13,530,053","1,615,886","11.9%"
"神奈川県","9,155,389","1,109,962","12.1%"
"新潟県","2,300,923","162,704","7.1%"
"富山県","1,074,705","94,277","8.8%"
"石川県","1,153,627","88,104","7.6%"
"福井県","794,433","50,737","6.4%"
"山梨県","844,717","67,572","8.0%"
"長野県","2,126,064","167,962","7.9%"
"岐阜県","2,066,266","152,479","7.4%"
"静岡県","3,756,865","339,761","9.0%"
"愛知県","7,532,231","665,564","8.8%"
"三重県","1,841,753","138,217","7.5%"
