"年齢","人口（H29.1.1時点）","","","交付件数（H29.12.1時点）","","","交付率","","","全体に対する交付件数割合","",""
"","男","女","計","男","女","計","男","女","計","男","女","計"
"全体","62,394,249","","65,512,765 127,907,014","6,982,795","6,026,342","13,009,137","11.2%","9.2%","10.2%","100.0%","100.0%","100.0%"
"0～4歳","2,621,231","2,490,499","5,111,730","55,330","52,266","107,596","2.1%","2.1%","2.1%","0.8%","0.9%","0.8%"
"5～9","2,785,944","2,646,286","5,432,230","79,137","76,405","155,542","2.8%","2.9%","2.9%","1.1%","1.3%","1.2%"
"10～14","2,868,662","2,729,563","5,598,225","74,044","74,301","148,345","2.6%","2.7%","2.6%","1.1%","1.2%","1.1%"
"15～19","3,090,372","2,942,630","6,033,002","119,734","118,099","237,833","3.9%","4.0%","3.9%","1.7%","2.0%","1.8%"
"20～24","3,243,592","3,079,965","6,323,557","220,691","221,752","442,443","6.8%","7.2%","7.0%","3.2%","3.7%","3.4%"
"25～29","3,399,524","3,223,084","6,622,608","275,247","245,119","520,366","8.1%","7.6%","7.9%","3.9%","4.1%","4.0%"
"30～34","3,808,238","3,656,088","7,464,326","325,766","277,168","602,934","8.6%","7.6%","8.1%","4.7%","4.6%","4.6%"
"35～39","4,199,117","4,044,663","8,243,780","355,050","278,048","633,098","8.5%","6.9%","7.7%","5.1%","4.6%","4.9%"
"40～44","4,976,555","4,812,300","9,788,855","413,000","301,866","714,866","8.3%","6.3%","7.3%","5.9%","5.0%","5.5%"
"45～49","4,807,492","4,693,977","9,501,469","444,243","330,395","774,638","9.2%","7.0%","8.2%","6.4%","5.5%","6.0%"
"50～54","3,989,860","3,937,541","7,927,401","462,278","358,582","820,860","11.6%","9.1%","10.4%","6.6%","6.0%","6.3%"
"55～59","3,763,163","3,774,218","7,537,381","515,588","429,330","944,918","13.7%","11.4%","12.5%","7.4%","7.1%","7.3%"
"60～64","3,976,493","4,072,974","8,049,467","639,145","549,425","1,188,570","16.1%","13.5%","14.8%","9.2%","9.1%","9.1%"
"65～69","4,929,868","5,242,975","10,172,843","892,784","768,757","1,661,541","18.1%","14.7%","16.3%","12.8%","12.8%","12.8%"
"70～74","3,417,616","3,914,181","7,331,797","733,869","680,961","1,414,830","21.5%","17.4%","19.3%","10.5%","11.3%","10.9%"
"75～79","2,903,418","3,621,089","6,524,507","641,191","599,838","1,241,029","22.1%","16.6%","19.0%","9.2%","10.0%","9.5%"
"80～84","2,064,886","3,043,941","5,108,827","445,121","402,611","847,732","21.6%","13.2%","16.6%","6.4%","6.7%","6.5%"
"85～89","1,095,016","2,114,143","3,209,159","220,489","194,231","414,720","20.1%","9.2%","12.9%","3.2%","3.2%","3.2%"
"90～94","376,916","1,087,992","1,464,908","61,958","56,727","118,685","16.4%","5.2%","8.1%","0.9%","0.9%","0.9%"
"95～99","68,342","327,978","396,320","7,597","9,453","17,050","11.1%","2.9%","4.3%","0.1%","0.2%","0.1%"
"100歳以上","7,944","56,678","64,622","533","1008","1,541","6.7%","1.8%","2.4%","0.0%","0.0%","0.0%"
