"年齢","人口（H29.1.1時点）","","","交付件数（H29.8.31時点）","","","交付率","","","全体に対する交付件数割合","",""
"","男","女","計","男","女","計","男","女","計","男","女","計"
"全体","62,394,249","","65,512,765 127,907,014","6,619,715","5,681,877","12,301,592","10.6%","8.7%","9.6%","100.0%","100.0%","100.0%"
"0～4歳","2,621,231","2,490,499","5,111,730","51,412","48,568","99,980","2.0%","2.0%","2.0%","0.8%","0.9%","0.8%"
"5～9","2,785,944","2,646,286","5,432,230","76,282","73,607","149,889","2.7%","2.8%","2.8%","1.2%","1.3%","1.2%"
"10～14","2,868,662","2,729,563","5,598,225","71,499","71,641","143,140","2.5%","2.6%","2.6%","1.1%","1.3%","1.2%"
"15～19","3,090,372","2,942,630","6,033,002","112,542","109,949","222,491","3.6%","3.7%","3.7%","1.7%","1.9%","1.8%"
"20～24","3,243,592","3,079,965","6,323,557","205,234","204,275","409,509","6.3%","6.6%","6.5%","3.1%","3.6%","3.3%"
"25～29","3,399,524","3,223,084","6,622,608","256,999","226,640","483,639","7.6%","7.0%","7.3%","3.9%","4.0%","3.9%"
"30～34","3,808,238","3,656,088","7,464,326","305,586","258,663","564,249","8.0%","7.1%","7.6%","4.6%","4.6%","4.6%"
"35～39","4,199,117","4,044,663","8,243,780","334,352","261,087","595,439","8.0%","6.5%","7.2%","5.1%","4.6%","4.8%"
"40～44","4,976,555","4,812,300","9,788,855","390,481","284,285","674,766","7.8%","5.9%","6.9%","5.9%","5.0%","5.5%"
"45～49","4,807,492","4,693,977","9,501,469","421,023","311,675","732,698","8.8%","6.6%","7.7%","6.4%","5.5%","6.0%"
"50～54","3,989,860","3,937,541","7,927,401","440,002","339,635","779,637","11.0%","8.6%","9.8%","6.6%","6.0%","6.3%"
"55～59","3,763,163","3,774,218","7,537,381","493,270","408,327","901,597","13.1%","10.8%","12.0%","7.5%","7.2%","7.3%"
"60～64","3,976,493","4,072,974","8,049,467","612,382","522,665","1,135,047","15.4%","12.8%","14.1%","9.3%","9.2%","9.2%"
"65～69","4,929,868","5,242,975","10,172,843","853,627","730,282","1,583,909","17.3%","13.9%","15.6%","12.9%","12.9%","12.9%"
"70～74","3,417,616","3,914,181","7,331,797","697,387","641,407","1,338,794","20.4%","16.4%","18.3%","10.5%","11.3%","10.9%"
"75～79","2,903,418","3,621,089","6,524,507","604,081","561,860","1,165,941","20.8%","15.5%","17.9%","9.1%","9.9%","9.5%"
"80～84","2,064,886","3,043,941","5,108,827","418,172","378,427","796,599","20.3%","12.4%","15.6%","6.3%","6.7%","6.5%"
"85～89","1,095,016","2,114,143","3,209,159","208,377","184,308","392,685","19.0%","8.7%","12.2%","3.1%","3.2%","3.2%"
"90～94","376,916","1,087,992","1,464,908","59,172","54,464","113,636","15.7%","5.0%","7.8%","0.9%","1.0%","0.9%"
"95～99","68,342","327,978","396,320","7,316","9,139","16,455","10.7%","2.8%","4.2%","0.1%","0.2%","0.1%"
"100歳以上","7,944","56,678","64,622","519","973","1,492","6.5%","1.7%","2.3%","0.0%","0.0%","0.0%"
