"都道府県名","総数（人口）
【H28.1.1時点】","交付枚数
【H29.5.15時点】","人口に対する
交付枚数率"
"滋賀県","1,419,863","116,331","8.2%"
"京都府","2,574,842","227,903","8.9%"
"大阪府","8,865,502","865,157","9.8%"
"兵庫県","5,621,087","579,800","10.3%"
"奈良県","1,387,818","146,121","10.5%"
"和歌山県","994,317","69,646","7.0%"
"鳥取県","579,309","44,033","7.6%"
"島根県","701,394","56,122","8.0%"
"岡山県","1,933,781","149,436","7.7%"
"広島県","2,863,211","267,532","9.3%"
"山口県","1,419,781","129,484","9.1%"
"徳島県","770,057","55,474","7.2%"
"香川県","1,002,173","75,019","7.5%"
"愛媛県","1,415,997","103,897","7.3%"
"高知県","740,059","41,960","5.7%"
"福岡県","5,122,448","399,052","7.8%"
"佐賀県","842,457","59,423","7.1%"
"長崎県","1,404,103","119,089","8.5%"
"熊本県","1,810,343","148,498","8.2%"
"大分県","1,183,961","94,795","8.0%"
"宮崎県","1,128,078","127,407","11.3%"
"鹿児島県","1,679,502","139,807","8.3%"
"沖縄県","1,461,231","93,385","6.4%"
