"都道府県名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.8.31時点】","人口に対する
交付枚数率"
"滋賀県","1,420,260","126,982","8.9%"
"京都府","2,569,410","243,958","9.5%"
"大阪府","8,861,437","937,757","10.6%"
"兵庫県","5,606,545","624,295","11.1%"
"奈良県","1,380,181","155,100","11.2%"
"和歌山県","984,689","73,911","7.5%"
"鳥取県","575,264","46,331","8.1%"
"島根県","696,382","59,733","8.6%"
"岡山県","1,927,632","157,243","8.2%"
"広島県","2,857,475","281,693","9.9%"
"山口県","1,408,588","136,664","9.7%"
"徳島県","764,213","59,016","7.7%"
"香川県","997,811","79,901","8.0%"
"愛媛県","1,405,325","109,773","7.8%"
"高知県","732,535","44,313","6.0%"
"福岡県","5,126,389","429,335","8.4%"
"佐賀県","837,977","63,769","7.6%"
"長崎県","1,392,950","128,046","9.2%"
"熊本県","1,798,149","158,301","8.8%"
"大分県","1,176,891","100,086","8.5%"
"宮崎県","1,119,544","139,767","12.5%"
"鹿児島県","1,668,003","148,721","8.9%"
"沖縄県","1,467,071","103,328","7.0%"
