"都道府県名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.12.1時点】","人口に対する
交付枚数率"
"滋賀県","1,420,260","136,956","9.6%"
"京都府","2,569,410","256,818","10.0%"
"大阪府","8,861,437","992,844","11.2%"
"兵庫県","5,606,545","659,271","11.8%"
"奈良県","1,380,181","162,934","11.8%"
"和歌山県","984,689","77,282","7.8%"
"鳥取県","575,264","48,207","8.4%"
"島根県","696,382","63,435","9.1%"
"岡山県","1,927,632","164,297","8.5%"
"広島県","2,857,475","294,790","10.3%"
"山口県","1,408,588","143,491","10.2%"
"徳島県","764,213","62,463","8.2%"
"香川県","997,811","83,929","8.4%"
"愛媛県","1,405,325","114,975","8.2%"
"高知県","732,535","46,100","6.3%"
"福岡県","5,126,389","457,365","8.9%"
"佐賀県","837,977","67,898","8.1%"
"長崎県","1,392,950","138,621","10.0%"
"熊本県","1,798,149","167,731","9.3%"
"大分県","1,176,891","105,549","9.0%"
"宮崎県","1,119,544","149,277","13.3%"
"鹿児島県","1,668,003","156,408","9.4%"
"沖縄県","1,467,071","110,352","7.5%"
